resource_type_name;raw_arn;originating_service;arn;partition;service;region;account;resource_path;condition_keys
template;arn:${Partition}:quicksight:${Region}:${Account}:template/${ResourceId};quicksight;arn;${Partition};quicksight;${Region};${Account};${ResourceId};aws:ResourceTag/${TagKey}
assignment;arn:${Partition}:quicksight::${Account}:assignment/${ResourceId};quicksight;arn;${Partition};quicksight;;${Account};${ResourceId};
resource-share;arn:${Partition}:ram:${Region}:${Account}:resource-share/${ResourcePath};ram;arn;${Partition};ram;${Region};${Account};${ResourcePath};aws:ResourceTag/${TagKey},ram:AllowsExternalPrincipals,ram:ResourceShareName
resource-share-invitation;arn:${Partition}:ram:${Region}:${Account}:resource-share-invitation/${ResourcePath};ram;arn;${Partition};ram;${Region};${Account};${ResourcePath};
permission;arn:${Partition}:ram::${Account}:permission/${ResourcePath};ram;arn;${Partition};ram;;${Account};${ResourcePath};ram:PermissionArn
cluster;arn:${Partition}:rds:${Region}:${Account}:cluster:${DbClusterInstanceName};rds;arn;${Partition};rds;${Region};${Account};${DbClusterInstanceName};aws:ResourceTag/${TagKey},rds:cluster-tag/${TagKey}
cluster-endpoint;arn:${Partition}:rds:${Region}:${Account}:cluster-endpoint:${DbClusterEndpoint};rds;arn;${Partition};rds;${Region};${Account};${DbClusterEndpoint};aws:ResourceTag/${TagKey}
cluster-pg;arn:${Partition}:rds:${Region}:${Account}:cluster-pg:${ClusterParameterGroupName};rds;arn;${Partition};rds;${Region};${Account};${ClusterParameterGroupName};aws:ResourceTag/${TagKey},rds:cluster-pg-tag/${TagKey}
cluster-snapshot;arn:${Partition}:rds:${Region}:${Account}:cluster-snapshot:${ClusterSnapshotName};rds;arn;${Partition};rds;${Region};${Account};${ClusterSnapshotName};aws:ResourceTag/${TagKey},rds:cluster-snapshot-tag/${TagKey}
db;arn:${Partition}:rds:${Region}:${Account}:db:${DbInstanceName};rds;arn;${Partition};rds;${Region};${Account};${DbInstanceName};aws:ResourceTag/${TagKey},rds:DatabaseClass,rds:DatabaseEngine,rds:DatabaseName,rds:MultiAz,rds:Piops,rds:StorageEncrypted,rds:StorageSize,rds:Vpc,rds:db-tag/${TagKey}
es;arn:${Partition}:rds:${Region}:${Account}:es:${SubscriptionName};rds;arn;${Partition};rds;${Region};${Account};${SubscriptionName};aws:ResourceTag/${TagKey},rds:es-tag/${TagKey}
global-cluster;arn:${Partition}:rds:${Account}:global-cluster:${GlobalCluster};rds;arn;${Partition};rds;${Account};global-cluster;;
og;arn:${Partition}:rds:${Region}:${Account}:og:${OptionGroupName};rds;arn;${Partition};rds;${Region};${Account};${OptionGroupName};aws:ResourceTag/${TagKey},rds:og-tag/${TagKey}
pg;arn:${Partition}:rds:${Region}:${Account}:pg:${ParameterGroupName};rds;arn;${Partition};rds;${Region};${Account};${ParameterGroupName};aws:ResourceTag/${TagKey},rds:pg-tag/${TagKey}
proxy;arn:${Partition}:rds:${Region}:${Account}:db-proxy:${DbProxyId};rds;arn;${Partition};rds;${Region};${Account};${DbProxyId};
ri;arn:${Partition}:rds:${Region}:${Account}:ri:${ReservedDbInstanceName};rds;arn;${Partition};rds;${Region};${Account};${ReservedDbInstanceName};aws:ResourceTag/${TagKey},rds:ri-tag/${TagKey}
secgrp;arn:${Partition}:rds:${Region}:${Account}:secgrp:${SecurityGroupName};rds;arn;${Partition};rds;${Region};${Account};${SecurityGroupName};aws:ResourceTag/${TagKey},rds:secgrp-tag/${TagKey}
snapshot;arn:${Partition}:rds:${Region}:${Account}:snapshot:${SnapshotName};rds;arn;${Partition};rds;${Region};${Account};${SnapshotName};aws:ResourceTag/${TagKey},rds:snapshot-tag/${TagKey}
subgrp;arn:${Partition}:rds:${Region}:${Account}:subgrp:${SubnetGroupName};rds;arn;${Partition};rds;${Region};${Account};${SubnetGroupName};aws:ResourceTag/${TagKey},rds:subgrp-tag/${TagKey}
target;arn:${Partition}:rds:${Region}:${Account}:target:${TargetId};rds;arn;${Partition};rds;${Region};${Account};${TargetId};
target-group;arn:${Partition}:rds:${Region}:${Account}:target-group:${TargetGroupId};rds;arn;${Partition};rds;${Region};${Account};${TargetGroupId};
db-user;arn:${Partition}:rds-db:${Region}:${Account}:dbuser:${DbiResourceId}/${DbUserName};rds-db;arn;${Partition};rds-db;${Region};${Account};${DbUserName};
cluster;arn:${Partition}:redshift:${Region}:${Account}:cluster:${ClusterName};redshift;arn;${Partition};redshift;${Region};${Account};${ClusterName};
dbgroup;arn:${Partition}:redshift:${Region}:${Account}:dbgroup:${ClusterName}/${DbGroup};redshift;arn;${Partition};redshift;${Region};${Account};${DbGroup};
dbname;arn:${Partition}:redshift:${Region}:${Account}:dbname:${ClusterName}/${DbName};redshift;arn;${Partition};redshift;${Region};${Account};${DbName};
dbuser;arn:${Partition}:redshift:${Region}:${Account}:dbuser:${ClusterName}/${DbUser};redshift;arn;${Partition};redshift;${Region};${Account};${DbUser};
eventsubscription;arn:${Partition}:redshift:${Region}:${Account}:eventsubscription:${EventSubscriptionName};redshift;arn;${Partition};redshift;${Region};${Account};${EventSubscriptionName};
hsmclientcertificate;arn:${Partition}:redshift:${Region}:${Account}:hsmclientcertificate:${HSMClientCertificateId};redshift;arn;${Partition};redshift;${Region};${Account};${HSMClientCertificateId};
hsmconfiguration;arn:${Partition}:redshift:${Region}:${Account}:hsmconfiguration:${HSMConfigurationId};redshift;arn;${Partition};redshift;${Region};${Account};${HSMConfigurationId};
parametergroup;arn:${Partition}:redshift:${Region}:${Account}:parametergroup:${ParameterGroupName};redshift;arn;${Partition};redshift;${Region};${Account};${ParameterGroupName};
securitygroup;arn:${Partition}:redshift:${Region}:${Account}:securitygroup:${SecurityGroupName}/ec2securitygroup/${Owner}/${Ec2SecurityGroupId};redshift;arn;${Partition};redshift;${Region};${Account};ec2securitygroup/${Owner}/${Ec2SecurityGroupId};
securitygroupingress-cidr;arn:${Partition}:redshift:${Region}:${Account}:securitygroupingress:${SecurityGroupName}/cidrip/${IpRange};redshift;arn;${Partition};redshift;${Region};${Account};cidrip/${IpRange};
securitygroupingress-ec2securitygroup;arn:${Partition}:redshift:${Region}:${Account}:securitygroupingress:${SecurityGroupName}/ec2securitygroup/${Owner}/${Ece2SecuritygroupId};redshift;arn;${Partition};redshift;${Region};${Account};ec2securitygroup/${Owner}/${Ece2SecuritygroupId};
snapshot;arn:${Partition}:redshift:${Region}:${Account}:snapshot:${ClusterName}/${SnapshotName};redshift;arn;${Partition};redshift;${Region};${Account};${SnapshotName};
snapshotcopygrant;arn:${Partition}:redshift:${Region}:${Account}:snapshotcopygrant:${SnapshotCopyGrantName};redshift;arn;${Partition};redshift;${Region};${Account};${SnapshotCopyGrantName};
snapshotschedule;arn:${Partition}:redshift:${Region}:${Account}:snapshotschedule:${ParameterGroupName};redshift;arn;${Partition};redshift;${Region};${Account};${ParameterGroupName};
subnetgroup;arn:${Partition}:redshift:${Region}:${Account}:subnetgroup:${SubnetGroupName};redshift;arn;${Partition};redshift;${Region};${Account};${SubnetGroupName};
collection;arn:${Partition}:rekognition:${Region}:${Account}:collection/${CollectionId};rekognition;arn;${Partition};rekognition;${Region};${Account};${CollectionId};
streamprocessor;arn:${Partition}:rekognition:${Region}:${Account}:streamprocessor/${StreamprocessorId};rekognition;arn;${Partition};rekognition;${Region};${Account};${StreamprocessorId};
project;arn:${Partition}:rekognition:${Region}:${Account}:project/${ProjectName}/${CreationTimestamp};rekognition;arn;${Partition};rekognition;${Region};${Account};${ProjectName}/${CreationTimestamp};
projectversion;arn:${Partition}:rekognition:${Region}:${Account}:project/${ProjectName}/version/${VersionName}/${CreationTimestamp};rekognition;arn;${Partition};rekognition;${Region};${Account};${ProjectName}/version/${VersionName}/${CreationTimestamp};
group;arn:${Partition}:resource-groups:${Region}:${Account}:group/${GroupName};resource-groups;arn;${Partition};resource-groups;${Region};${Account};${GroupName};aws:ResourceTag/${TagKey}
robotApplication;arn:${Partition}:robomaker:${Region}:${Account}:robot-application/${ApplicationName}/${CreatedOnEpoch};robomaker;arn;${Partition};robomaker;${Region};${Account};${ApplicationName}/${CreatedOnEpoch};aws:ResourceTag/${TagKey}
simulationApplication;arn:${Partition}:robomaker:${Region}:${Account}:simulation-application/${ApplicationName}/${CreatedOnEpoch};robomaker;arn;${Partition};robomaker;${Region};${Account};${ApplicationName}/${CreatedOnEpoch};aws:ResourceTag/${TagKey}
simulationJob;arn:${Partition}:robomaker:${Region}:${Account}:simulation-job/${SimulationJobId};robomaker;arn;${Partition};robomaker;${Region};${Account};${SimulationJobId};aws:ResourceTag/${TagKey}
simulationJobBatch;arn:${Partition}:robomaker:${Region}:${Account}:simulation-job-batch/${SimulationJobBatchId};robomaker;arn;${Partition};robomaker;${Region};${Account};${SimulationJobBatchId};aws:ResourceTag/${TagKey}
deploymentJob;arn:${Partition}:robomaker:${Region}:${Account}:deployment-job/${DeploymentJobId};robomaker;arn;${Partition};robomaker;${Region};${Account};${DeploymentJobId};aws:ResourceTag/${TagKey}
robot;arn:${Partition}:robomaker:${Region}:${Account}:robot/${RobotName}/${CreatedOnEpoch};robomaker;arn;${Partition};robomaker;${Region};${Account};${RobotName}/${CreatedOnEpoch};aws:ResourceTag/${TagKey}
deploymentFleet;arn:${Partition}:robomaker:${Region}:${Account}:deployment-fleet/${FleetName}/${CreatedOnEpoch};robomaker;arn;${Partition};robomaker;${Region};${Account};${FleetName}/${CreatedOnEpoch};aws:ResourceTag/${TagKey}
change;arn:${Partition}:route53:::change/${Id};route53;arn;${Partition};route53;;;${Id};
delegationset;arn:${Partition}:route53:::delegationset/${Id};route53;arn;${Partition};route53;;;${Id};
healthcheck;arn:${Partition}:route53:::healthcheck/${Id};route53;arn;${Partition};route53;;;${Id};
hostedzone;arn:${Partition}:route53:::hostedzone/${Id};route53;arn;${Partition};route53;;;${Id};
trafficpolicy;arn:${Partition}:route53:::trafficpolicy/${Id};route53;arn;${Partition};route53;;;${Id};
trafficpolicyinstance;arn:${Partition}:route53:::trafficpolicyinstance/${Id};route53;arn;${Partition};route53;;;${Id};
queryloggingconfig;arn:${Partition}:route53:::queryloggingconfig/${Id};route53;arn;${Partition};route53;;;${Id};
resolver-rule;arn:${Partition}:route53resolver:${Region}:${Account}:resolver-rule/${ResourceId};route53resolver;arn;${Partition};route53resolver;${Region};${Account};${ResourceId};aws:ResourceTag/${TagKey}
resolver-endpoint;arn:${Partition}:route53resolver:${Region}:${Account}:resolver-endpoint/${ResourceId};route53resolver;arn;${Partition};route53resolver;${Region};${Account};${ResourceId};aws:ResourceTag/${TagKey}
accesspoint;arn:${Partition}:s3:${Region}:${Account}:accesspoint/${AccessPointName};s3;arn;${Partition};s3;${Region};${Account};${AccessPointName};
bucket;arn:${Partition}:s3:::${BucketName};s3;arn;${Partition};s3;;;;
object;arn:${Partition}:s3:::${BucketName}/${ObjectName};s3;arn;${Partition};s3;;;${ObjectName};
job;arn:${Partition}:s3:${Region}:${Account}:job/${JobId};s3;arn;${Partition};s3;${Region};${Account};${JobId};
human-loop;arn:${Partition}:sagemaker:${Region}:${Account}:human-loop/${HumanLoopName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${HumanLoopName};
flow-definition;arn:${Partition}:sagemaker:${Region}:${Account}:flow-definition/${FlowDefinitionName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${FlowDefinitionName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
human-task-ui;arn:${Partition}:sagemaker:${Region}:${Account}:human-task-ui/${HumanTaskUiName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${HumanTaskUiName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
labeling-job;arn:${Partition}:sagemaker:${Region}:${Account}:labeling-job/${LabelingJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${LabelingJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
workteam;arn:${Partition}:sagemaker:${Region}:${Account}:workteam/${WorkteamName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${WorkteamName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
domain;arn:${Partition}:sagemaker:${Region}:${Account}:domain/${DomainId};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${DomainId};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
user-profile;arn:${Partition}:sagemaker:${Region}:${Account}:user-profile/${DomainId}/${UserProfileName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${DomainId}/${UserProfileName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
app;arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${DomainId}/${UserProfileName}/${AppType}/${AppName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
notebook-instance;arn:${Partition}:sagemaker:${Region}:${Account}:notebook-instance/${NotebookInstanceName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${NotebookInstanceName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
notebook-instance-lifecycle-config;arn:${Partition}:sagemaker:${Region}:${Account}:notebook-instance-lifecycle-config/${NotebookInstanceLifecycleConfigName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${NotebookInstanceLifecycleConfigName};
code-repository;arn:${Partition}:sagemaker:${Region}:${Account}:code-repository/${CodeRepositoryName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${CodeRepositoryName};
algorithm;arn:${Partition}:sagemaker:${Region}:${Account}:algorithm/${AlgorithmName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${AlgorithmName};
training-job;arn:${Partition}:sagemaker:${Region}:${Account}:training-job/${TrainingJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${TrainingJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
processing-job;arn:${Partition}:sagemaker:${Region}:${Account}:processing-job/${ProcessingJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${ProcessingJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
hyper-parameter-tuning-job;arn:${Partition}:sagemaker:${Region}:${Account}:hyper-parameter-tuning-job/${HyperParameterTuningJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${HyperParameterTuningJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
model-package;arn:${Partition}:sagemaker:${Region}:${Account}:model-package/${ModelPackageName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${ModelPackageName};
model;arn:${Partition}:sagemaker:${Region}:${Account}:model/${ModelName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${ModelName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
endpoint-config;arn:${Partition}:sagemaker:${Region}:${Account}:endpoint-config/${EndpointConfigName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${EndpointConfigName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
endpoint;arn:${Partition}:sagemaker:${Region}:${Account}:endpoint/${EndpointName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${EndpointName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
transform-job;arn:${Partition}:sagemaker:${Region}:${Account}:transform-job/${TransformJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${TransformJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
compilation-job;arn:${Partition}:sagemaker:${Region}:${Account}:compilation-job/${CompilationJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${CompilationJobName};
automl-job;arn:${Partition}:sagemaker:${Region}:${Account}:automl-job/${AutoMLJobJobName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${AutoMLJobJobName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
monitoring-schedule;arn:${Partition}:sagemaker:${Region}:${Account}:monitoring-schedule/${MonitoringScheduleName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${MonitoringScheduleName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
experiment;arn:${Partition}:sagemaker:${Region}:${Account}:experiment/${ExperimentName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${ExperimentName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
experiment-trial;arn:${Partition}:sagemaker:${Region}:${Account}:experiment-trial/${TrialName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${TrialName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
experiment-trial-component;arn:${Partition}:sagemaker:${Region}:${Account}:experiment-trial-component/${TrialComponentName};sagemaker;arn;${Partition};sagemaker;${Region};${Account};${TrialComponentName};aws:ResourceTag/${TagKey},sagemaker:ResourceTag/${TagKey}
savingsplan;arn:${Partition}:savingsplans::${Account}:savingsplan/${ResourceId};savingsplans;arn;${Partition};savingsplans;;${Account};${ResourceId};aws:ResourceTag/${TagKey}
discoverer;arn:${Partition}:schemas:${Region}:${Account}:discoverer/${DiscovererId};schemas;arn;${Partition};schemas;${Region};${Account};${DiscovererId};aws:ResourceTag/${TagKey}
registry;arn:${Partition}:schemas:${Region}:${Account}:registry/${RegistryName};schemas;arn;${Partition};schemas;${Region};${Account};${RegistryName};aws:ResourceTag/${TagKey}
schema;arn:${Partition}:schemas:${Region}:${Account}:schema/${RegistryName}/${SchemaName};schemas;arn;${Partition};schemas;${Region};${Account};${RegistryName}/${SchemaName};aws:ResourceTag/${TagKey}
domain;arn:${Partition}:sdb:${Region}:${Account}:domain/${DomainName};sdb;arn;${Partition};sdb;${Region};${Account};${DomainName};
Secret;arn:${Partition}:secretsmanager:${Region}:${Account}:secret:${SecretId};secretsmanager;arn;${Partition};secretsmanager;${Region};${Account};${SecretId};aws:RequestTag/tag-key,aws:TagKeys,secretsmanager:ResourceTag/tag-key,secretsmanager:resource/AllowRotationLambdaArn
insight;arn:${Partition}:securityhub:${Region}:${Account}:insight/${CompanyId}/${ProductId}/${UniqueId};securityhub;arn;${Partition};securityhub;${Region};${Account};${CompanyId}/${ProductId}/${UniqueId};
standard;arn:${Partition}:securityhub:::ruleset/${StandardsName}/v/${StandardsVersion};securityhub;arn;${Partition};securityhub;;;${StandardsName}/v/${StandardsVersion};
standards-subscription;arn:${Partition}:securityhub:${Region}:${Account}:subscription/${StandardsName}/v/${StandardsVersion};securityhub;arn;${Partition};securityhub;${Region};${Account};${StandardsName}/v/${StandardsVersion};
product-subscription;arn:${Partition}:securityhub:${Region}:${Account}:product-subscription/${Company}/${ProductId};securityhub;arn;${Partition};securityhub;${Region};${Account};${Company}/${ProductId};
product;arn:${Partition}:securityhub:${Region}:${Account}:product/${Company}/${ProductId};securityhub;arn;${Partition};securityhub;${Region};${Account};${Company}/${ProductId};
hub;arn:${Partition}:securityhub:${Region}:${Account}:hub/default;securityhub;arn;${Partition};securityhub;${Region};${Account};default;aws:ResourceTag/${TagKey}
action-target;arn:${Partition}:securityhub:${Region}:${Account}:action/custom/${Id};securityhub;arn;${Partition};securityhub;${Region};${Account};custom/${Id};
applications;arn:${Partition}:serverlessrepo:${Region}:${Account}:applications/${ResourceId};serverlessrepo;arn;${Partition};serverlessrepo;${Region};${Account};${ResourceId};
Portfolio;arn:${Partition}:catalog:${Region}:${Account}:portfolio/${PortfolioId};servicecatalog;arn;${Partition};catalog;${Region};${Account};${PortfolioId};aws:ResourceTag/${TagKey}
Product;arn:${Partition}:catalog:${Region}:${Account}:product/${ProductId};servicecatalog;arn;${Partition};catalog;${Region};${Account};${ProductId};aws:ResourceTag/${TagKey}
namespace;arn:${Partition}:servicediscovery:${Region}:${Account}:namespace/${NamespaceId};servicediscovery;arn;${Partition};servicediscovery;${Region};${Account};${NamespaceId};
service;arn:${Partition}:servicediscovery:${Region}:${Account}:service/${ServiceId};servicediscovery;arn;${Partition};servicediscovery;${Region};${Account};${ServiceId};
quota;arn:${Partition}:servicequotas:${Region}:${Account}:${ServiceCode}/${QuotaCode};servicequotas;arn;${Partition};servicequotas;${Region};${Account};${QuotaCode};
configuration-set;arn:${Partition}:ses:${Region}:${Account}:configuration-set/${ConfigurationSetName};ses;arn;${Partition};ses;${Region};${Account};${ConfigurationSetName};aws:ResourceTag/${TagKey}
dedicated-ip-pool;arn:${Partition}:ses:${Region}:${Account}:dedicated-ip-pool/${CustomVerificationEmailTemplateName};ses;arn;${Partition};ses;${Region};${Account};${CustomVerificationEmailTemplateName};aws:ResourceTag/${TagKey}
deliverability-test-report;arn:${Partition}:ses:${Region}:${Account}:deliverability-test-report/${CustomVerificationEmailTemplateName};ses;arn;${Partition};ses;${Region};${Account};${CustomVerificationEmailTemplateName};aws:ResourceTag/${TagKey}
event-destination;arn:${Partition}:ses:${Region}:${Account}:configuration-set/${ConfigurationSetName}:event-destination/${EventDestinationName};ses;arn;${Partition};ses;${Region};${Account};${ConfigurationSetName}:event-destination/${EventDestinationName};
identity;arn:${Partition}:ses:${Region}:${Account}:identity/${IdentityName};ses;arn;${Partition};ses;${Region};${Account};${IdentityName};aws:ResourceTag/${TagKey}
configuration-set;arn:${Partition}:ses:${Region}:${Account}:configuration-set/${ConfigurationSetName};ses;arn;${Partition};ses;${Region};${Account};${ConfigurationSetName};
custom-verification-email-template;arn:${Partition}:ses:${Region}:${Account}:custom-verification-email-template/${CustomVerificationEmailTemplateName};ses;arn;${Partition};ses;${Region};${Account};${CustomVerificationEmailTemplateName};
event-destination;arn:${Partition}:ses:${Region}:${Account}:configuration-set/${ConfigurationSetName}:event-destination/${EventDestinationName};ses;arn;${Partition};ses;${Region};${Account};${ConfigurationSetName}:event-destination/${EventDestinationName};
identity;arn:${Partition}:ses:${Region}:${Account}:identity/${IdentityName};ses;arn;${Partition};ses;${Region};${Account};${IdentityName};
receipt-filter;arn:${Partition}:ses:${Region}:${Account}:receipt-filter/${ReceiptFilterName};ses;arn;${Partition};ses;${Region};${Account};${ReceiptFilterName};
receipt-rule;arn:${Partition}:ses:${Region}:${Account}:receipt-rule-set/${ReceiptRuleSetName}:receipt-rule/${ReceiptRuleName};ses;arn;${Partition};ses;${Region};${Account};${ReceiptRuleSetName}:receipt-rule/${ReceiptRuleName};
receipt-rule-set;arn:${Partition}:ses:${Region}:${Account}:receipt-rule-set/${ReceiptRuleSetName};ses;arn;${Partition};ses;${Region};${Account};${ReceiptRuleSetName};
template;arn:${Partition}:ses:${Region}:${Account}:template/${TemplateName};ses;arn;${Partition};ses;${Region};${Account};${TemplateName};
attack;arn:${Partition}:shield::${Account}:attack/${Id};shield;arn;${Partition};shield;;${Account};${Id};
protection;arn:${Partition}:shield::${Account}:protection/${Id};shield;arn;${Partition};shield;;${Account};${Id};
signing-profile;arn:${Partition}:signer:${Region}::/signing-profiles/${profileName};signer;arn;${Partition};signer;${Region};;signing-profiles/${profileName};aws:ResourceTag/${TagKey}
signing-job;arn:${Partition}:signer:${Region}::/signing-jobs/${jobId};signer;arn;${Partition};signer;${Region};;signing-jobs/${jobId};
topic;arn:${Partition}:sns:${Region}:${Account}:${TopicName};sns;arn;${Partition};sns;${Region};${Account};;
queue;arn:${Partition}:sqs:${Region}:${Account}:${QueueName};sqs;arn;${Partition};sqs;${Region};${Account};;
association;arn:${Partition}:ssm:${Region}:${Account}:association/${AssociationId};ssm;arn;${Partition};ssm;${Region};${Account};${AssociationId};
automation-execution;arn:${Partition}:ssm:${Region}:${Account}:automation-execution/${AutomationExecutionId};ssm;arn;${Partition};ssm;${Region};${Account};${AutomationExecutionId};
automation-definition;arn:${Partition}:ssm:${Region}:${Account}:automation-definition/${AutomationDefinitionName:VersionId};ssm;arn;${Partition};ssm;${Region};${Account};${AutomationDefinitionName:VersionId};
document;arn:${Partition}:ssm:${Region}:${Account}:document/${DocumentName};ssm;arn;${Partition};ssm;${Region};${Account};${DocumentName};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
instance;arn:${Partition}:ec2:${Region}:${Account}:instance/${InstanceId};ssm;arn;${Partition};ec2;${Region};${Account};${InstanceId};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
maintenancewindow;arn:${Partition}:ssm:${Region}:${Account}:maintenancewindow/${ResourceId};ssm;arn;${Partition};ssm;${Region};${Account};${ResourceId};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
managed-instance;arn:${Partition}:ssm:${Region}:${Account}:managed-instance/${ManagedInstanceName};ssm;arn;${Partition};ssm;${Region};${Account};${ManagedInstanceName};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
managed-instance-inventory;arn:${Partition}:ssm:${Region}:${Account}:managed-instance-inventory/${InstanceId};ssm;arn;${Partition};ssm;${Region};${Account};${InstanceId};
opsitem;arn:${Partition}:ssm:${Region}:${Account}:opsitem/${ResourceId};ssm;arn;${Partition};ssm;${Region};${Account};${ResourceId};
parameter;arn:${Partition}:ssm:${Region}:${Account}:parameter/${FullyQualifiedParameterName};ssm;arn;${Partition};ssm;${Region};${Account};${FullyQualifiedParameterName};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
patchbaseline;arn:${Partition}:ssm:${Region}:${Account}:patchbaseline/${PatchBaselineIdResourceId};ssm;arn;${Partition};ssm;${Region};${Account};${PatchBaselineIdResourceId};aws:ResourceTag/${TagKey},ssm:resourceTag/tag-key
session;arn:${Partition}:ssm:${Region}:${Account}:session/${SessionId};ssm;arn;${Partition};ssm;${Region};${Account};${SessionId};
resourcedatasync;arn:${Partition}:ssm:${Region}:${Account}:resource-data-sync/${SyncName};ssm;arn;${Partition};ssm;${Region};${Account};${SyncName};
servicesetting;arn:${Partition}:ssm:${Region}:${Account}:servicesetting/${ResourceId};ssm;arn;${Partition};ssm;${Region};${Account};${ResourceId};
windowtarget;arn:${Partition}:ssm:${Region}:${Account}:windowtarget/${WindowTargetId};ssm;arn;${Partition};ssm;${Region};${Account};${WindowTargetId};
windowtask;arn:${Partition}:ssm:${Region}:${Account}:windowtask/${WindowTaskId};ssm;arn;${Partition};ssm;${Region};${Account};${WindowTaskId};
activity;arn:${Partition}:states:${Region}:${Account}:activity:${ActivityName};states;arn;${Partition};states;${Region};${Account};${ActivityName};aws:ResourceTag/${TagKey}
execution;arn:${Partition}:states:${Region}:${Account}:execution:${StateMachineName}:${ExecutionId};states;arn;${Partition};states;${Region};${Account};${StateMachineName}:${ExecutionId};
statemachine;arn:${Partition}:states:${Region}:${Account}:stateMachine:${StateMachineName};states;arn;${Partition};states;${Region};${Account};${StateMachineName};aws:ResourceTag/${TagKey}
device;arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId}/device/${Vtldevice};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${GatewayId}/device/${Vtldevice};
gateway;arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${GatewayId};aws:ResourceTag/${TagKey}
share;arn:${Partition}:storagegateway:${Region}:${Account}:share/${ShareId};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${ShareId};aws:ResourceTag/${TagKey}
tape;arn:${Partition}:storagegateway:${Region}:${Account}:tape/${TapeBarcode};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${TapeBarcode};aws:ResourceTag/${TagKey}
target;arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId}/target/${IscsiTarget};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${GatewayId}/target/${IscsiTarget};
volume;arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId}/volume/${VolumeId};storagegateway;arn;${Partition};storagegateway;${Region};${Account};${GatewayId}/volume/${VolumeId};aws:ResourceTag/${TagKey}
